|id	 |ProbabilityPresence	 |Start	 |Length	 |Class	 |ProbabilityClass
Chr1	 0.9360663890838623	 40255	 270	 RT	 0.5191403031349182
Chr1	 0.999940812587738	 47864	 1117	 INT	 1.0
Chr1	 0.9879944920539856	 50158	 565	 RT	 1.0
Chr1	 0.9993035793304443	 51328	 261	 AP	 0.9999997019767761
Chr1	 0.9674258232116699	 51737	 893	 GAG	 1.0
Chr1	 0.8029330968856812	 59852	 309	 RNASEH	 0.6123505234718323
Chr1	 0.9595573544502258	 75641	 889	 GAG	 1.0
Chr1	 0.953679084777832	 110669	 658	 GAG	 1.0
Chr1	 0.9965794086456299	 111656	 265	 AP	 1.0
Chr1	 0.9999944567680359	 112230	 731	 RT	 1.0
Chr1	 0.9999995827674866	 113039	 328	 RNASEH	 1.0
Chr1	 0.9318910241127014	 113704	 1141	 INT	 1.0
Chr1	 0.991093635559082	 121313	 1080	 INT	 0.9999999403953552
Chr1	 0.9995616674423218	 123145	 315	 RNASEH	 0.9999373555183411
Chr1	 0.9999988675117493	 124160	 653	 RT	 1.0
Chr1	 0.9997803568840027	 125315	 253	 AP	 1.0
Chr1	 0.9998155236244202	 126362	 554	 GAG	 1.0
Chr1	 0.9776100516319275	 128963	 271	 RNASEH	 0.9960864186286926
Chr1	 0.9999977946281433	 129477	 748	 RT	 1.0
Chr1	 0.9998390674591064	 130614	 241	 AP	 1.0
Chr1	 0.8897476196289062	 131034	 909	 GAG	 1.0
Chr1	 0.8898380994796753	 153653	 828	 GAG	 0.049334537237882614
Chr1	 0.9351204037666321	 157644	 387	 RNASEH	 0.9999756217002869
Chr1	 0.999021053314209	 158374	 728	 RT	 0.9999999403953552
Chr1	 0.9988119006156921	 159871	 752	 INT	 0.9999994039535522
Chr1	 0.9531446695327759	 160643	 677	 INT	 0.014230932109057903
Chr1	 0.9379389882087708	 166445	 321	 AP	 0.43780624866485596
Chr1	 0.9944363236427307	 166837	 314	 RNASEH	 0.3892034590244293
Chr1	 0.9103474020957947	 171756	 534	 INT	 0.1793992817401886
Chr1	 0.8220543265342712	 216351	 735	 GAG	 0.9997757077217102
Chr1	 0.8341297507286072	 254642	 256	 RNASEH	 0.9729417562484741
Chr1	 0.9039792418479919	 255332	 318	 RT	 0.9993880391120911
Chr1	 0.9900298118591309	 265341	 521	 GAG	 1.0
Chr1	 0.9751046895980835	 281126	 718	 GAG	 0.9978642463684082
Chr1	 0.9918181300163269	 285361	 690	 INT	 0.9023955464363098
Chr1	 0.8002684116363525	 310731	 239	 RT	 0.6084400415420532
Chr1	 0.8966759443283081	 337572	 285	 RNASEH	 0.3309173882007599
Chr1	 0.906462550163269	 344628	 581	 ENV	 0.9442941546440125
Chr1	 0.9072940945625305	 358042	 251	 AP	 0.12115776538848877
Chr1	 0.8108060956001282	 360851	 288	 RT	 0.7843824625015259
Chr1	 0.9345536828041077	 369543	 464	 INT	 0.36514919996261597
Chr1	 0.9355596899986267	 370544	 726	 INT	 0.9134001731872559
Chr1	 0.8503507375717163	 376850	 306	 RT	 0.9985256195068359
Chr1	 0.8888065218925476	 377347	 291	 RNASEH	 0.1149212196469307
Chr1	 0.9687739610671997	 466875	 673	 GAG	 1.0
Chr1	 0.9999994039535522	 468156	 257	 AP	 1.0
Chr1	 0.9961910843849182	 468896	 623	 RT	 1.0
Chr1	 0.9685027003288269	 470156	 338	 RNASEH	 0.999499499797821
Chr1	 0.9996370077133179	 471397	 1105	 INT	 1.0
Chr1	 0.9929283857345581	 487809	 432	 RNASEH	 1.0
Chr1	 0.9992228746414185	 488551	 749	 RT	 1.0
Chr1	 0.9997564554214478	 489789	 658	 INT	 0.9999995827674866
Chr1	 0.9708990454673767	 490743	 316	 AP	 0.9999964237213135
Chr1	 0.9470587372779846	 491342	 528	 GAG	 1.0
Chr1	 0.8709344267845154	 570264	 509	 INT	 0.8875818252563477
Chr1	 0.9015367031097412	 601663	 558	 INT	 0.8400741815567017
Chr1	 0.962039589881897	 641654	 209	 AP	 0.8830928802490234
Chr1	 0.9938119649887085	 665350	 735	 INT	 0.9999528527259827
Chr1	 0.9999961256980896	 666654	 365	 RNASEH	 1.0
Chr1	 0.999995231628418	 667173	 699	 RT	 1.0
Chr1	 0.9999976754188538	 668350	 242	 AP	 1.0
Chr1	 0.9079552292823792	 668773	 1112	 GAG	 1.0
Chr1	 0.9938329458236694	 690436	 760	 GAG	 0.9125372171401978
Chr1	 0.9929420948028564	 694658	 706	 INT	 0.9999966621398926
Chr1	 0.9593636393547058	 695649	 264	 RNASEH	 0.9999706149101257
Chr1	 0.8687891364097595	 704555	 271	 AP	 0.9937058091163635
Chr1	 0.8369760513305664	 704852	 870	 GAG	 0.9996010661125183
Chr1	 0.9696574211120605	 710756	 849	 GAG	 0.9997705221176147
Chr1	 0.9343726634979248	 712832	 595	 INT	 0.24214833974838257
Chr1	 0.9550075531005859	 722440	 610	 INT	 0.9319509863853455
Chr1	 0.963578462600708	 756451	 518	 INT	 0.2782990038394928
Chr1	 0.9451596736907959	 756944	 281	 RNASEH	 0.055515725165605545
Chr1	 0.9956461787223816	 757436	 450	 RT	 0.9910727143287659
Chr1	 0.9987975358963013	 758537	 269	 AP	 0.9999996423721313
Chr1	 0.8869830965995789	 759833	 286	 AP	 0.9952316284179688
Chr1	 0.940336287021637	 768948	 289	 RT	 0.29763084650039673
Chr1	 0.8512561917304993	 770721	 295	 AP	 0.9206280708312988
Chr1	 0.889604389667511	 783832	 517	 INT	 0.032587483525276184
Chr1	 0.9999378323554993	 824622	 1112	 INT	 1.0
Chr1	 0.9499441981315613	 826476	 324	 RNASEH	 0.9997807741165161
Chr1	 0.9999954700469971	 827476	 602	 RT	 0.9999998807907104
Chr1	 0.9999755620956421	 828627	 227	 AP	 1.0
Chr1	 0.9973081946372986	 829727	 541	 GAG	 0.9999998807907104
